date,channel,spend,impressions,clicks,conversions,revenue
2025-01-01,Google Ads,1649.01,166945,9335,448,51784.54
2025-01-01,Meta Ads,1166.82,71083,2086,82,5513.02
2025-01-01,LinkedIn Ads,1052.67,54150,4234,98,25808.86
2025-01-01,Email Marketing,346.05,37466,1226,101,7828.51
2025-01-01,Affiliate Partners,544.39,38813,1998,120,9612.71
2025-01-02,Google Ads,1360.28,109143,4089,190,24791.66
2025-01-02,Meta Ads,956.92,67415,2830,119,11588.25
2025-01-02,LinkedIn Ads,850.28,69659,4674,104,22640.79
2025-01-02,Email Marketing,304.05,27811,633,54,3392.14
2025-01-02,Affiliate Partners,429.03,39697,1200,66,5966.54
2025-01-03,Google Ads,1319.81,129204,5996,288,39138.93
2025-01-03,Meta Ads,1129.99,66152,3288,141,14135.75
2025-01-03,LinkedIn Ads,931.61,66907,3425,62,16627.11
2025-01-03,Email Marketing,226.75,20015,622,50,3223.04
2025-01-03,Affiliate Partners,688.62,38696,1228,74,3948.38
2025-01-04,Google Ads,1551.41,82482,3259,169,17670.54
2025-01-04,Meta Ads,845.15,91286,3779,125,8395.58
2025-01-04,LinkedIn Ads,684.82,47708,2507,76,18282.64
2025-01-04,Email Marketing,319.45,17639,1397,122,7559.48
2025-01-04,Affiliate Partners,553.79,57625,1839,94,5945.7
2025-01-05,Google Ads,1809.3,188147,4598,258,30356.67
2025-01-05,Meta Ads,1423.51,106894,2881,107,9886.83
2025-01-05,LinkedIn Ads,853.0,62408,1486,40,10670.44
2025-01-05,Email Marketing,358.53,25731,1016,88,5685.11
2025-01-05,Affiliate Partners,697.5,78193,3779,201,14833.4
2025-01-06,Google Ads,1906.87,111307,6989,358,37784.61
2025-01-06,Meta Ads,1286.73,133778,6639,233,22171.54
2025-01-06,LinkedIn Ads,1046.09,90581,4135,102,25550.18
2025-01-06,Email Marketing,305.22,21977,1110,84,5589.7
2025-01-06,Affiliate Partners,564.12,64044,2238,123,11482.42
2025-01-07,Google Ads,1943.37,128293,3158,174,16061.45
2025-01-07,Meta Ads,1075.62,75597,2243,79,5336.61
2025-01-07,LinkedIn Ads,946.46,100568,3137,68,16914.89
2025-01-07,Email Marketing,319.73,35962,1882,136,7639.41
2025-01-07,Affiliate Partners,515.75,34016,1552,85,7064.27
2025-01-08,Google Ads,1401.7,150347,10771,542,59172.27
2025-01-08,Meta Ads,1201.23,95159,3171,129,10552.17
2025-01-08,LinkedIn Ads,762.47,44520,1792,42,11554.27
2025-01-08,Email Marketing,290.32,25059,1558,135,6818.35
2025-01-08,Affiliate Partners,648.49,48930,3831,245,22581.88
2025-01-09,Google Ads,924.37,64649,1436,63,8333.74
2025-01-09,Meta Ads,1193.64,110613,5548,264,19314.72
2025-01-09,LinkedIn Ads,769.22,46263,2283,46,12202.19
2025-01-09,Email Marketing,318.09,37851,1306,106,8296.85
2025-01-09,Affiliate Partners,737.14,49118,3128,193,16571.06
2025-01-10,Google Ads,1725.58,130703,7572,328,44512.8
2025-01-10,Meta Ads,1340.85,75516,5295,242,20947.31
2025-01-10,LinkedIn Ads,1150.47,83357,2599,64,14530.14
2025-01-10,Email Marketing,305.98,29811,625,51,4007.62
2025-01-10,Affiliate Partners,539.58,46321,1555,92,8911.61
2025-01-11,Google Ads,1181.31,116200,5020,242,31089.52
2025-01-11,Meta Ads,1313.66,151821,4289,149,13357.36
2025-01-11,LinkedIn Ads,674.68,77404,5622,135,34206.25
2025-01-11,Email Marketing,280.68,19101,1138,88,5986.46
2025-01-11,Affiliate Partners,627.3,54622,1885,120,8813.82
2025-01-12,Google Ads,1892.14,106938,7895,331,48406.68
2025-01-12,Meta Ads,1262.37,93077,3811,178,12569.66
2025-01-12,LinkedIn Ads,925.09,93264,6885,195,47278.8
2025-01-12,Email Marketing,315.03,29909,749,60,4464.8
2025-01-12,Affiliate Partners,641.57,39337,2907,171,11669.64
2025-01-13,Google Ads,1587.92,79958,2370,110,11688.28
2025-01-13,Meta Ads,1028.56,90936,5593,200,17798.47
2025-01-13,LinkedIn Ads,609.39,60849,2083,44,11450.15
2025-01-13,Email Marketing,339.39,24700,1600,139,8520.59
2025-01-13,Affiliate Partners,715.61,68721,3717,227,19861.43
2025-01-14,Google Ads,1623.83,91839,3863,202,24470.14
2025-01-14,Meta Ads,986.52,116518,5078,221,21488.66
2025-01-14,LinkedIn Ads,669.47,75277,4356,81,21306.02
2025-01-14,Email Marketing,300.78,27185,1347,113,6616.23
2025-01-14,Affiliate Partners,774.42,49305,3123,187,16876.74
2025-01-15,Google Ads,1178.73,136535,10545,516,70224.85
2025-01-15,Meta Ads,1315.79,150053,6333,328,25652.95
2025-01-15,LinkedIn Ads,875.72,102856,7321,132,33601.56
2025-01-15,Email Marketing,295.63,20874,899,75,4990.28
2025-01-15,Affiliate Partners,546.42,33803,1805,121,7250.43
2025-01-16,Google Ads,1756.92,202978,12536,670,74311.1
2025-01-16,Meta Ads,987.87,91922,7298,354,42440.26
2025-01-16,LinkedIn Ads,824.6,49315,2519,53,12813.1
2025-01-16,Email Marketing,321.47,31758,1973,166,10656.04
2025-01-16,Affiliate Partners,667.29,50156,1886,112,9002.65
2025-01-17,Google Ads,1654.51,183146,13698,553,66245.22
2025-01-17,Meta Ads,1323.31,113531,5686,207,17098.85
2025-01-17,LinkedIn Ads,891.34,88365,5986,192,44381.26
2025-01-17,Email Marketing,368.13,41341,1665,139,9148.36
2025-01-17,Affiliate Partners,507.26,45896,1016,59,5419.48
2025-01-18,Google Ads,1428.95,118020,6202,320,41138.94
2025-01-18,Meta Ads,1364.7,71148,1582,70,5952.13
2025-01-18,LinkedIn Ads,541.97,58305,2426,53,12387.31
2025-01-18,Email Marketing,303.86,31570,1040,78,8910.44
2025-01-18,Affiliate Partners,470.67,44055,1106,73,4360.57
2025-01-19,Google Ads,1513.67,132967,7744,335,42621.38
2025-01-19,Meta Ads,1043.62,105224,8265,353,34676.34
2025-01-19,LinkedIn Ads,475.98,50293,1823,43,10669.08
2025-01-19,Email Marketing,311.19,25121,620,50,3564.42
2025-01-19,Affiliate Partners,660.6,51940,1578,77,5894.58
2025-01-20,Google Ads,1759.73,107256,3755,171,20969.42
2025-01-20,Meta Ads,1623.71,156223,5748,315,30086.35
2025-01-20,LinkedIn Ads,864.8,101043,6494,152,40101.71
2025-01-20,Email Marketing,427.33,33917,1182,97,7401.24
2025-01-20,Affiliate Partners,723.9,54232,3550,223,24719.14
2025-01-21,Google Ads,1633.15,135864,3514,155,19701.19
2025-01-21,Meta Ads,1385.91,116989,5663,200,19666.54
2025-01-21,LinkedIn Ads,759.59,59168,3369,68,16574.29
2025-01-21,Email Marketing,225.13,21265,483,37,3131.58
2025-01-21,Affiliate Partners,772.95,65870,4702,303,18578.21
2025-01-22,Google Ads,1069.24,102763,3059,153,16731.51
2025-01-22,Meta Ads,1247.77,64704,3568,120,10409.37
2025-01-22,LinkedIn Ads,703.97,81530,4445,104,29785.68
2025-01-22,Email Marketing,395.16,32433,1710,140,6907.0
2025-01-22,Affiliate Partners,451.46,52325,2258,129,12296.38
2025-01-23,Google Ads,1584.3,87109,3409,206,19819.31
2025-01-23,Meta Ads,1050.55,114658,2453,75,8854.84
2025-01-23,LinkedIn Ads,705.7,41122,2541,68,16114.34
2025-01-23,Email Marketing,350.98,33000,2397,198,6031.83
2025-01-23,Affiliate Partners,697.54,48648,1490,89,7557.64
2025-01-24,Google Ads,1688.89,173183,11847,647,67800.14
2025-01-24,Meta Ads,1194.98,90868,6050,244,18572.95
2025-01-24,LinkedIn Ads,818.77,60471,4586,120,28388.38
2025-01-24,Email Marketing,286.94,29428,1920,149,8204.35
2025-01-24,Affiliate Partners,731.85,41875,3105,196,18203.85
2025-01-25,Google Ads,1891.64,136961,10098,493,59442.77
2025-01-25,Meta Ads,1205.04,93082,1922,62,5301.3
2025-01-25,LinkedIn Ads,851.87,99278,5401,133,38478.48
2025-01-25,Email Marketing,292.19,27532,1291,96,8828.42
2025-01-25,Affiliate Partners,479.28,46526,3030,196,16505.07
2025-01-26,Google Ads,1135.74,119719,8066,474,59525.67
2025-01-26,Meta Ads,1197.06,64676,3425,143,12756.06
2025-01-26,LinkedIn Ads,656.44,53110,3890,121,32240.09
2025-01-26,Email Marketing,250.47,15030,987,75,3765.85
2025-01-26,Affiliate Partners,561.43,52367,1365,80,5439.95
2025-01-27,Google Ads,1573.49,86688,6008,298,41291.35
2025-01-27,Meta Ads,1078.33,107226,2667,100,8935.76
2025-01-27,LinkedIn Ads,568.31,60749,4667,118,31001.72
2025-01-27,Email Marketing,215.55,25655,1672,114,6942.54
2025-01-27,Affiliate Partners,513.79,53639,2869,175,17150.21
2025-01-28,Google Ads,1435.97,114440,8512,404,37108.09
2025-01-28,Meta Ads,1195.44,60721,2921,125,10058.7
2025-01-28,LinkedIn Ads,639.6,34500,935,17,4090.79
