date,channel,spend,impressions,clicks
2025-01-01,Google Ads,1649.01,166945,9335
2025-01-01,Meta Ads,1166.82,71083,2086
2025-01-01,LinkedIn Ads,1052.67,54150,4234
2025-01-01,Email Marketing,346.05,37466,1226
2025-01-01,Affiliate Partners,544.39,38813,1998
2025-01-02,Google Ads,1360.28,109143,4089
2025-01-02,Meta Ads,956.92,67415,2830
2025-01-02,LinkedIn Ads,850.28,69659,4674
2025-01-02,Email Marketing,304.05,27811,633
2025-01-02,Affiliate Partners,429.03,39697,1200
2025-01-03,Google Ads,1319.81,129204,5996
2025-01-03,Meta Ads,1129.99,66152,3288
2025-01-03,LinkedIn Ads,931.61,66907,3425
2025-01-03,Email Marketing,226.75,20015,622
2025-01-03,Affiliate Partners,688.62,38696,1228
2025-01-04,Google Ads,1551.41,82482,3259
2025-01-04,Meta Ads,845.15,91286,3779
2025-01-04,LinkedIn Ads,684.82,47708,2507
2025-01-04,Email Marketing,319.45,17639,1397
2025-01-04,Affiliate Partners,553.79,57625,1839
2025-01-05,Google Ads,1809.3,188147,4598
2025-01-05,Meta Ads,1423.51,106894,2881
2025-01-05,LinkedIn Ads,853.0,62408,1486
2025-01-05,Email Marketing,358.53,25731,1016
2025-01-05,Affiliate Partners,697.5,78193,3779
2025-01-06,Google Ads,1906.87,111307,6989
2025-01-06,Meta Ads,1286.73,133778,6639
2025-01-06,LinkedIn Ads,1046.09,90581,4135
2025-01-06,Email Marketing,305.22,21977,1110
2025-01-06,Affiliate Partners,564.12,64044,2238
2025-01-07,Google Ads,1943.37,128293,3158
2025-01-07,Meta Ads,1075.62,75597,2243
2025-01-07,LinkedIn Ads,946.46,100568,3137
2025-01-07,Email Marketing,319.73,35962,1882
2025-01-07,Affiliate Partners,515.75,34016,1552
2025-01-08,Google Ads,1401.7,150347,10771
2025-01-08,Meta Ads,1201.23,95159,3171
2025-01-08,LinkedIn Ads,762.47,44520,1792
2025-01-08,Email Marketing,290.32,25059,1558
2025-01-08,Affiliate Partners,648.49,48930,3831
2025-01-09,Google Ads,924.37,64649,1436
2025-01-09,Meta Ads,1193.64,110613,5548
2025-01-09,LinkedIn Ads,769.22,46263,2283
2025-01-09,Email Marketing,318.09,37851,1306
2025-01-09,Affiliate Partners,737.14,49118,3128
2025-01-10,Google Ads,1725.58,130703,7572
2025-01-10,Meta Ads,1340.85,75516,5295
2025-01-10,LinkedIn Ads,1150.47,83357,2599
2025-01-10,Email Marketing,305.98,29811,625
2025-01-10,Affiliate Partners,539.58,46321,1555
2025-01-11,Google Ads,1181.31,116200,5020
2025-01-11,Meta Ads,1313.66,151821,4289
2025-01-11,LinkedIn Ads,674.68,77404,5622
2025-01-11,Email Marketing,280.68,19101,1138
2025-01-11,Affiliate Partners,627.3,54622,1885
2025-01-12,Google Ads,1892.14,106938,7895
2025-01-12,Meta Ads,1262.37,93077,3811
2025-01-12,LinkedIn Ads,925.09,93264,6885
2025-01-12,Email Marketing,315.03,29909,749
2025-01-12,Affiliate Partners,641.57,39337,2907
2025-01-13,Google Ads,1587.92,79958,2370
2025-01-13,Meta Ads,1028.56,90936,5593
2025-01-13,LinkedIn Ads,609.39,60849,2083
2025-01-13,Email Marketing,339.39,24700,1600
2025-01-13,Affiliate Partners,715.61,68721,3717
2025-01-14,Google Ads,1623.83,91839,3863
2025-01-14,Meta Ads,986.52,116518,5078
2025-01-14,LinkedIn Ads,669.47,75277,4356
2025-01-14,Email Marketing,300.78,27185,1347
2025-01-14,Affiliate Partners,774.42,49305,3123
2025-01-15,Google Ads,1178.73,136535,10545
2025-01-15,Meta Ads,1315.79,150053,6333
2025-01-15,LinkedIn Ads,875.72,102856,7321
2025-01-15,Email Marketing,295.63,20874,899
2025-01-15,Affiliate Partners,546.42,33803,1805
2025-01-16,Google Ads,1756.92,202978,12536
2025-01-16,Meta Ads,987.87,91922,7298
2025-01-16,LinkedIn Ads,824.6,49315,2519
2025-01-16,Email Marketing,321.47,31758,1973
2025-01-16,Affiliate Partners,667.29,50156,1886
2025-01-17,Google Ads,1654.51,183146,13698
2025-01-17,Meta Ads,1323.31,113531,5686
2025-01-17,LinkedIn Ads,891.34,88365,5986
2025-01-17,Email Marketing,368.13,41341,1665
2025-01-17,Affiliate Partners,507.26,45896,1016
2025-01-18,Google Ads,1428.95,118020,6202
2025-01-18,Meta Ads,1364.7,71148,1582
2025-01-18,LinkedIn Ads,541.97,58305,2426
2025-01-18,Email Marketing,303.86,31570,1040
2025-01-18,Affiliate Partners,470.67,44055,1106
2025-01-19,Google Ads,1513.67,132967,7744
2025-01-19,Meta Ads,1043.62,105224,8265
2025-01-19,LinkedIn Ads,475.98,50293,1823
2025-01-19,Email Marketing,311.19,25121,620
2025-01-19,Affiliate Partners,660.6,51940,1578
2025-01-20,Google Ads,1759.73,107256,3755
2025-01-20,Meta Ads,1623.71,156223,5748
2025-01-20,LinkedIn Ads,864.8,101043,6494
2025-01-20,Email Marketing,427.33,33917,1182
2025-01-20,Affiliate Partners,723.9,54232,3550
2025-01-21,Google Ads,1633.15,135864,3514
2025-01-21,Meta Ads,1385.91,116989,5663
2025-01-21,LinkedIn Ads,759.59,59168,3369
2025-01-21,Email Marketing,225.13,21265,483
2025-01-21,Affiliate Partners,772.95,65870,4702
2025-01-22,Google Ads,1069.24,102763,3059
2025-01-22,Meta Ads,1247.77,64704,3568
