date,channel,conversions,revenue
2025-01-01,Google Ads,448,51784.54
2025-01-01,Meta Ads,82,5513.02
2025-01-01,LinkedIn Ads,98,25808.86
2025-01-01,Email Marketing,101,7828.51
2025-01-01,Affiliate Partners,120,9612.71
2025-01-02,Google Ads,190,24791.66
2025-01-02,Meta Ads,119,11588.25
2025-01-02,LinkedIn Ads,104,22640.79
2025-01-02,Email Marketing,54,3392.14
2025-01-02,Affiliate Partners,66,5966.54
2025-01-03,Google Ads,288,39138.93
2025-01-03,Meta Ads,141,14135.75
2025-01-03,LinkedIn Ads,62,16627.11
2025-01-03,Email Marketing,50,3223.04
2025-01-03,Affiliate Partners,74,3948.38
2025-01-04,Google Ads,169,17670.54
2025-01-04,Meta Ads,125,8395.58
2025-01-04,LinkedIn Ads,76,18282.64
2025-01-04,Email Marketing,122,7559.48
2025-01-04,Affiliate Partners,94,5945.7
2025-01-05,Google Ads,258,30356.67
2025-01-05,Meta Ads,107,9886.83
2025-01-05,LinkedIn Ads,40,10670.44
2025-01-05,Email Marketing,88,5685.11
2025-01-05,Affiliate Partners,201,14833.4
2025-01-06,Google Ads,358,37784.61
2025-01-06,Meta Ads,233,22171.54
2025-01-06,LinkedIn Ads,102,25550.18
2025-01-06,Email Marketing,84,5589.7
2025-01-06,Affiliate Partners,123,11482.42
2025-01-07,Google Ads,174,16061.45
2025-01-07,Meta Ads,79,5336.61
2025-01-07,LinkedIn Ads,68,16914.89
2025-01-07,Email Marketing,136,7639.41
2025-01-07,Affiliate Partners,85,7064.27
2025-01-08,Google Ads,542,59172.27
2025-01-08,Meta Ads,129,10552.17
2025-01-08,LinkedIn Ads,42,11554.27
2025-01-08,Email Marketing,135,6818.35
2025-01-08,Affiliate Partners,245,22581.88
2025-01-09,Google Ads,63,8333.74
2025-01-09,Meta Ads,264,19314.72
2025-01-09,LinkedIn Ads,46,12202.19
2025-01-09,Email Marketing,106,8296.85
2025-01-09,Affiliate Partners,193,16571.06
2025-01-10,Google Ads,328,44512.8
2025-01-10,Meta Ads,242,20947.31
2025-01-10,LinkedIn Ads,64,14530.14
2025-01-10,Email Marketing,51,4007.62
2025-01-10,Affiliate Partners,92,8911.61
2025-01-11,Google Ads,242,31089.52
2025-01-11,Meta Ads,149,13357.36
2025-01-11,LinkedIn Ads,135,34206.25
2025-01-11,Email Marketing,88,5986.46
2025-01-11,Affiliate Partners,120,8813.82
2025-01-12,Google Ads,331,48406.68
2025-01-12,Meta Ads,178,12569.66
2025-01-12,LinkedIn Ads,195,47278.8
2025-01-12,Email Marketing,60,4464.8
2025-01-12,Affiliate Partners,171,11669.64
2025-01-13,Google Ads,110,11688.28
2025-01-13,Meta Ads,200,17798.47
2025-01-13,LinkedIn Ads,44,11450.15
2025-01-13,Email Marketing,139,8520.59
2025-01-13,Affiliate Partners,227,19861.43
2025-01-14,Google Ads,202,24470.14
2025-01-14,Meta Ads,221,21488.66
2025-01-14,LinkedIn Ads,81,21306.02
2025-01-14,Email Marketing,113,6616.23
2025-01-14,Affiliate Partners,187,16876.74
2025-01-15,Google Ads,516,70224.85
2025-01-15,Meta Ads,328,25652.95
2025-01-15,LinkedIn Ads,132,33601.56
2025-01-15,Email Marketing,75,4990.28
2025-01-15,Affiliate Partners,121,7250.43
2025-01-16,Google Ads,670,74311.1
2025-01-16,Meta Ads,354,42440.26
2025-01-16,LinkedIn Ads,53,12813.1
2025-01-16,Email Marketing,166,10656.04
2025-01-16,Affiliate Partners,112,9002.65
2025-01-17,Google Ads,553,66245.22
2025-01-17,Meta Ads,207,17098.85
2025-01-17,LinkedIn Ads,192,44381.26
2025-01-17,Email Marketing,139,9148.36
2025-01-17,Affiliate Partners,59,5419.48
2025-01-18,Google Ads,320,41138.94
2025-01-18,Meta Ads,70,5952.13
2025-01-18,LinkedIn Ads,53,12387.31
2025-01-18,Email Marketing,78,8910.44
2025-01-18,Affiliate Partners,73,4360.57
2025-01-19,Google Ads,335,42621.38
2025-01-19,Meta Ads,353,34676.34
2025-01-19,LinkedIn Ads,43,10669.08
2025-01-19,Email Marketing,50,3564.42
2025-01-19,Affiliate Partners,77,5894.58
2025-01-20,Google Ads,171,20969.42
2025-01-20,Meta Ads,315,30086.35
2025-01-20,LinkedIn Ads,152,40101.71
2025-01-20,Email Marketing,97,7401.24
2025-01-20,Affiliate Partners,223,24719.14
2025-01-21,Google Ads,155,19701.19
2025-01-21,Meta Ads,200,19666.54
2025-01-21,LinkedIn Ads,68,16574.29
2025-01-21,Email Marketing,37,3131.58
2025-01-21,Affiliate Partners,303,18578.21
2025-01-22,Google Ads,153,16731.51
2025-01-22,Meta Ads,120,10409.37
2025-01-22,LinkedIn Ads,104,29785.68
2025-01-22,Email Marketing,140,6907.0
2025-01-22,Affiliate Partners,129,12296.38
2025-01-23,Google Ads,206,19819.31
2025-01-23,Meta Ads,75,8854.84
2025-01-23,LinkedIn Ads,68,16114.34
2025-01-23,Email Marketing,198,6031.83
2025-01-23,Affiliate Partners,89,7557.64
2025-01-24,Google Ads,647,67800.14
2025-01-24,Meta Ads,244,18572.95
2025-01-24,LinkedIn Ads,120,28388.38
2025-01-24,Email Marketing,149,8204.35
2025-01-24,Affiliate Partners,196,18203.85
2025-01-25,Google Ads,493,59442.77
2025-01-25,Meta Ads,62,5301.3
2025-01-25,LinkedIn Ads,133,38478.48
2025-01-25,Email Marketing,96,8828.42
2025-01-25,Affiliate Partners,196,16505.07
2025-01-26,Google Ads,474,59525.67
2025-01-26,Meta Ads,143,12756.06
2025-01-26,LinkedIn Ads,121,32240.09
2025-01-26,Email Marketing,75,3765.85
2025-01-26,Affiliate Partners,80,5439.95
2025-01-27,Google Ads,298,41291.35
2025-01-27,Meta Ads,100,8935.76
2025-01-27,LinkedIn Ads,118,31001.72
2025-01-27,Email Marketing,114,6942.54
2025-01-27,Affiliate Partners,175,17150.21
2025-01-28,Google Ads,404,37108.09
2025-01-28,Meta Ads,125,10058.7
2025-01-28,LinkedIn Ads,17,4090.79
2025-01-28,Email Marketing,141,8590.97
2025-01-28,Affiliate Partners,122,11401.63
2025-01-29,Google Ads,491,63718.46
2025-01-29,Meta Ads,150,13046.64
2025-01-29,LinkedIn Ads,61,15797.9
2025-01-29,Email Marketing,151,8907.1
2025-01-29,Affiliate Partners,220,19109.03
2025-01-30,Google Ads,689,89961.08
2025-01-30,Meta Ads,164,14966.21
2025-01-30,LinkedIn Ads,73,18698.69
2025-01-30,Email Marketing,180,16389.1
2025-01-30,Affiliate Partners,202,14817.58
2025-01-31,Google Ads,247,30738.81
2025-01-31,Meta Ads,354,32907.62
2025-01-31,LinkedIn Ads,129,35539.42
2025-01-31,Email Marketing,40,2914.38
2025-01-31,Affiliate Partners,165,10644.5
2025-02-01,Google Ads,277,40757.67
2025-02-01,Meta Ads,131,10124.4
2025-02-01,LinkedIn Ads,84,19627.06
2025-02-01,Email Marketing,181,11664.07
2025-02-01,Affiliate Partners,122,9788.58
2025-02-02,Google Ads,423,45000.29
2025-02-02,Meta Ads,220,21485.61
2025-02-02,LinkedIn Ads,58,13927.68
2025-02-02,Email Marketing,181,9705.4
2025-02-02,Affiliate Partners,227,18745.11
2025-02-03,Google Ads,394,40332.24
2025-02-03,Meta Ads,156,15437.51
2025-02-03,LinkedIn Ads,25,6423.7
2025-02-03,Email Marketing,95,7858.65
2025-02-03,Affiliate Partners,97,8563.6
2025-02-04,Google Ads,461,50501.82
2025-02-04,Meta Ads,443,41600.64
2025-02-04,LinkedIn Ads,76,17850.25
2025-02-04,Email Marketing,69,5191.89
2025-02-04,Affiliate Partners,35,2850.06
2025-02-05,Google Ads,142,18486.57
2025-02-05,Meta Ads,126,10717.34
2025-02-05,LinkedIn Ads,101,25757.61
2025-02-05,Email Marketing,27,2080.05
2025-02-05,Affiliate Partners,78,7125.44
2025-02-06,Google Ads,210,21997.45
2025-02-06,Meta Ads,193,17256.21
2025-02-06,LinkedIn Ads,139,35446.1
2025-02-06,Email Marketing,54,4656.23
2025-02-06,Affiliate Partners,73,6521.17
2025-02-07,Google Ads,364,45791.97
2025-02-07,Meta Ads,203,24397.36
2025-02-07,LinkedIn Ads,56,14209.42
2025-02-07,Email Marketing,126,9093.84
2025-02-07,Affiliate Partners,103,7697.07
2025-02-08,Google Ads,172,18528.45
2025-02-08,Meta Ads,120,11699.76
2025-02-08,LinkedIn Ads,53,13542.28
2025-02-08,Email Marketing,90,7144.44
2025-02-08,Affiliate Partners,113,8035.96
2025-02-09,Google Ads,580,86601.17
2025-02-09,Meta Ads,104,7708.1
2025-02-09,LinkedIn Ads,128,35768.17
2025-02-09,Email Marketing,28,2384.81
2025-02-09,Affiliate Partners,88,6059.92
2025-02-10,Google Ads,288,39877.38
2025-02-10,Meta Ads,137,13486.72
2025-02-10,LinkedIn Ads,44,12311.46
2025-02-10,Email Marketing,194,12604.75
2025-02-10,Affiliate Partners,122,12604.11
2025-02-11,Google Ads,575,72578.21
2025-02-11,Meta Ads,109,9881.15
2025-02-11,LinkedIn Ads,81,17176.58
2025-02-11,Email Marketing,52,3828.23
2025-02-11,Affiliate Partners,126,10810.15
2025-02-12,Google Ads,146,21364.49
2025-02-12,Meta Ads,89,7388.15
2025-02-12,LinkedIn Ads,96,23893.52
2025-02-12,Email Marketing,118,8605.19
2025-02-12,Affiliate Partners,96,6051.91
2025-02-13,Google Ads,564,73005.82
2025-02-13,Meta Ads,165,17066.0
2025-02-13,LinkedIn Ads,54,13705.06
2025-02-13,Email Marketing,125,8686.98
2025-02-13,Affiliate Partners,75,5419.02
2025-02-14,Google Ads,393,45946.46
2025-02-14,Meta Ads,217,18954.6
2025-02-14,LinkedIn Ads,58,14072.7
2025-02-14,Email Marketing,67,4432.54
2025-02-14,Affiliate Partners,173,13679.72
2025-02-15,Google Ads,424,56441.93
2025-02-15,Meta Ads,205,14750.16
2025-02-15,LinkedIn Ads,68,16503.05
2025-02-15,Email Marketing,121,7072.46
2025-02-15,Affiliate Partners,223,16314.28
2025-02-16,Google Ads,302,38935.48
2025-02-16,Meta Ads,105,8799.53
2025-02-16,LinkedIn Ads,91,22707.09
2025-02-16,Email Marketing,99,7781.09
2025-02-16,Affiliate Partners,88,6565.29
2025-02-17,Google Ads,259,31794.2
2025-02-17,Meta Ads,390,37146.33
2025-02-17,LinkedIn Ads,55,13671.24
2025-02-17,Email Marketing,86,5916.03
2025-02-17,Affiliate Partners,145,13590.97
2025-02-18,Google Ads,391,46235.17
2025-02-18,Meta Ads,281,32619.26
2025-02-18,LinkedIn Ads,59,16371.81
2025-02-18,Email Marketing,134,10348.95
2025-02-18,Affiliate Partners,426,36596.36
2025-02-19,Google Ads,118,13666.38
2025-02-19,Meta Ads,215,19192.31
2025-02-19,LinkedIn Ads,37,9220.92
2025-02-19,Email Marketing,139,12329.77
2025-02-19,Affiliate Partners,72,6787.57
2025-02-20,Google Ads,208,19643.92
2025-02-20,Meta Ads,103,11684.66
2025-02-20,LinkedIn Ads,41,10100.32
2025-02-20,Email Marketing,122,12024.57
2025-02-20,Affiliate Partners,172,19484.45
2025-02-21,Google Ads,272,33846.15
2025-02-21,Meta Ads,186,20860.65
2025-02-21,LinkedIn Ads,30,7597.55
2025-02-21,Email Marketing,47,2874.85
2025-02-21,Affiliate Partners,146,10348.75
2025-02-22,Google Ads,139,15536.86
2025-02-22,Meta Ads,121,8884.67
2025-02-22,LinkedIn Ads,63,16900.97
2025-02-22,Email Marketing,29,1717.71
2025-02-22,Affiliate Partners,72,7034.1
2025-02-23,Google Ads,382,42796.14
2025-02-23,Meta Ads,149,10946.38
2025-02-23,LinkedIn Ads,49,12550.33
2025-02-23,Email Marketing,127,7292.49
2025-02-23,Affiliate Partners,113,9946.52
2025-02-24,Google Ads,120,13252.85
2025-02-24,Meta Ads,66,3873.84
2025-02-24,LinkedIn Ads,110,27448.75
2025-02-24,Email Marketing,73,4084.53
2025-02-24,Affiliate Partners,96,8100.76
2025-02-25,Google Ads,220,19013.84
2025-02-25,Meta Ads,111,8979.57
2025-02-25,LinkedIn Ads,85,17746.93
2025-02-25,Email Marketing,176,10930.71
2025-02-25,Affiliate Partners,83,6160.65
2025-02-26,Google Ads,276,33704.8
2025-02-26,Meta Ads,97,9847.74
2025-02-26,LinkedIn Ads,47,12108.33
2025-02-26,Email Marketing,122,4726.07
2025-02-26,Affiliate Partners,157,11883.06
2025-02-27,Google Ads,413,49278.05
